oac197,128,174,174
oac198,156,184,183
oac199,190,204,206
oac200,210,217,216
oac201,25,160,138
oac202,46,168,149
oac203,94,178,162
oac204,121,198,183
oac205,145,206,193
oac206,184,222,210
oac207,226,238,235
oac208,26,171,157
oac209,29,179,183
oac210,99,202,200
oac211,147,218,216
oac212,189,232,229
oac213,222,244,242
oac214,232,244,240
oac215,19,122,137
oac216,32,130,141
oac217,78,148,161
oac218,123,162,165
oac219,149,177,182
oac220,170,185,185
oac221,194,198,195
oac222,20,145,155
oac223,35,151,157
oac224,83,151,160
oac225,114,179,183
oac226,139,193,202
oac227,162,200,203
oac228,198,210,206
oac229,28,176,186
oac230,28,178,213
oac231,60,195,207
oac232,140,220,226
oac233,134,216,234
oac234,194,236,243
oac235,231,247,246
oac236,18,121,153
oac237,49,128,157
oac238,76,143,169
oac239,92,149,171
oac240,140,169,184
oac241,159,175,186
oac242,188,194,197
oac243,18,143,183
oac244,48,154,188
oac245,77,168,200
oac246,129,185,206
oac247,161,201,218
oac248,185,210,220
oac249,207,217,219
oac250,31,175,235
oac251,57,199,243
oac252,90,208,243
oac253,130,221,247
oac254,162,226,245
oac255,205,242,250
oac256,239,248,249
oac257,24,89,124
oac258,22,102,139
oac259,24,109,146
oac260,65,120,156
oac261,104,133,160
oac262,108,149,176
oac263,163,173,189
oac264,22,151,212
oac265,26,164,225
oac266,75,173,226
oac267,142,201,237
oac268,136,206,240
oac269,193,231,248
oac270,228,238,245
oac271,33,126,188
oac272,68,141,200
oac273,109,155,207
oac274,150,184,227
oac275,187,205,232
oac276,210,222,241
oac277,230,237,244
oac278,60,84,121
oac279,69,108,143
oac280,88,119,147
oac281,103,135,161
oac282,141,158,175
oac283,173,180,187
oac284,204,204,205
oac285,77,113,163
oac286,86,149,196
oac287,109,163,202
oac288,154,193,218
oac289,172,204,226
oac290,199,214,224
oac291,220,231,234
oac292,40,79,114
oac293,61,96,131
oac294,100,121,152
oac295,149,154,177
oac296,160,161,179
oac297,186,187,196
oac298,212,212,212
oac299,38,104,153
oac300,64,117,163
oac301,114,144,184
oac302,168,179,203
oac303,195,201,220
oac304,208,211,221
oac305,222,222,222
oac306,68,81,128
oac307,78,96,131
